SEX,INSR_BEGIN,INSR_END,EFFECTIVE_YR,INSR_TYPE,INSURED_VALUE,PREMIUM,OBJECT_ID,PROD_YEAR,SEATS_NUM,CARRYING_CAPACITY,TYPE_VEHICLE,CCM_TON,MAKE,USAGE,CLAIM_PAID
0,2011-07-01 00:00:00,30-JUN-12,06,1202,1661328.77,12600.917,5000032709,2010.0,1.0,133.0,Truck,11596.0,HOWO,Own Goods,966631.54
0,2011-07-01 00:00:00,30-JUN-12,06,1202,808502.68,5633.49,5000032814,2009.0,4.0,7.0,Pick-up,2986.0,TOYOTA,Own Goods,238091.0
0,2011-07-01 00:00:00,30-JUN-12,08,1202,450000.0,6306.402,5000031415,1998.0,44.0,44.0,Bus,5861.0,FIAT,Own service,0
0,2011-07-01 00:00:00,30-JUN-12,08,1202,270000.0,4400.799,5000031417,2003.0,11.0,11.0,Bus,2779.0,TOYOTA,Own service,0
0,2011-07-02 00:00:00,01-JUL-12,11,1202,925000.0,24766.88,5000058161,2008.0,1.0,163.0,Truck,0.0,DAEWOO,Own Goods,24881.19
0,2011-07-02 00:00:00,01-JUL-12,11,1202,920000.0,24633.0,5000058186,2006.0,1.0,159.0,Truck,0.0,DAEWOO,Own Goods,18835.59
0,2011-07-02 00:00:00,01-JUL-12,05,1202,325000.0,3895.521,5000025171,2004.0,2.0,35.0,Truck,4334.0,ISUZU,Own Goods,0
2,2011-07-02 00:00:00,01-JUL-12,00,1201,68000.0,1021.91,5000030524,1988.0,4.0,,Automobile,1295.0,TOYOTA,Private,0
0,2011-07-03 00:00:00,02-JUL-12,11,1201,433000.0,7278.1,5000058118,1996.0,6.0,,Station Wagones,2835.0,MITSUBISHI,Private,25465.98
1,2011-07-03 00:00:00,02-JUL-12,11,1202,915000.0,9382.237,5000077031,2005.0,2.0,0.0,Truck,11945.0,MITSUBISHI,General Cartage,132498.13
0,2011-07-03 00:00:00,02-JUL-12,99,1201,141472.66,3368.401,5000030435,1998.0,4.0,,Automobile,1295.0,NISSAN,Private,0
2,2011-07-03 00:00:00,02-JUL-12,06,1202,414000.0,7682.1,5000031161,2007.0,0.0,137.8,Trailers and semitrailers,0.0,CALABRESE,General Cartage,0
1,2011-07-04 00:00:00,03-JUL-12,11,1202,840000.0,19970.742,5000075582,2006.0,2.0,167.8,Truck,11965.0,MITSUBISHI,General Cartage,298957.78
1,2011-07-04 00:00:00,03-JUL-12,11,1202,705000.0,26055.532,5000076106,2007.0,44.0,0.0,Bus,8226.0,ISUZU,Fare Paying Passengers,270000.0
1,2011-07-04 00:00:00,03-JUL-12,05,1201,140000.0,917.16,5000020267,1985.0,4.0,,Automobile,1587.0,TOYOTA,Private,0
0,2011-07-04 00:00:00,03-JUL-12,08,1201,80000.0,2281.398,5000020894,1986.0,4.0,,Automobile,1295.0,TOYOTA,Private,0
0,2011-07-05 00:00:00,04-JUL-12,80,1201,226679.38,3496.563,5000031261,2004.0,5.0,,Automobile,1600.0,SUZUKI,Private,9300.0
0,2011-07-05 00:00:00,04-JUL-12,80,1201,226679.38,3035.785,5000031266,2004.0,5.0,,Automobile,1600.0,SUZUKI,Private,114432.9
0,2011-07-05 00:00:00,04-JUL-12,80,1201,356108.72,5058.168,5000031609,1995.0,9.0,,Station Wagones,4169.0,NISSAN,Private,0
0,2011-07-05 00:00:00,04-JUL-12,80,1201,216940.72,2517.515,5000031624,2006.0,5.0,,Automobile,1328.0,SUZUKI,Private,0
1,2011-07-06 00:00:00,05-JUL-12,07,1202,550000.0,10710.13,5000038569,1994.0,0.0,158.0,Truck,12503.0,NISSAN UD,General Cartage,595267.42
1,2011-07-06 00:00:00,05-JUL-12,07,1202,70000.0,2185.36,5000038570,1968.0,0.0,200.0,Trailers and semitrailers,0.0,CALABRESE,General Cartage,297633.71
0,2011-07-06 00:00:00,05-JUL-12,11,1202,992310.0,10044.431,5000022284,2000.0,4.0,10.0,Pick-up,2779.0,TOYOTA,Own Goods,0
0,2011-07-06 00:00:00,05-JUL-12,09,1201,504347.83,7778.919,5000061908,2009.0,4.0,,Automobile,1599.0,VOLKS WAGON,Private,0
